Trajectory summary
Episodes: 763
Success rate: 100.0%
Path length (avg): 21.52
Total reward (avg): 0.00
Mean step (avg): 0.11
Total steps: 152500
Avg steps per episode: 199.87
Path length per episode:
ep_00503: path_length=20.66, steps=200
ep_00504: path_length=21.68, steps=200
ep_00505: path_length=23.06, steps=200
ep_00506: path_length=20.44, steps=200
ep_00507: path_length=21.99, steps=200
ep_00508: path_length=22.60, steps=200
ep_00509: path_length=20.13, steps=200
ep_00510: path_length=21.86, steps=200
ep_00511: path_length=22.14, steps=200
ep_00512: path_length=22.99, steps=200
ep_00513: path_length=21.30, steps=200
ep_00514: path_length=23.28, steps=200
ep_00515: path_length=21.34, steps=200
ep_00516: path_length=22.12, steps=200
ep_00517: path_length=22.41, steps=200
ep_00518: path_length=21.72, steps=200
ep_00519: path_length=23.48, steps=200
ep_00520: path_length=21.74, steps=200
ep_00521: path_length=21.79, steps=200
ep_00522: path_length=21.95, steps=200
ep_00523: path_length=22.47, steps=200
ep_00524: path_length=21.50, steps=200
ep_00525: path_length=19.49, steps=200
ep_00526: path_length=23.08, steps=200
ep_00527: path_length=21.65, steps=200
ep_00528: path_length=21.89, steps=200
ep_00529: path_length=20.89, steps=200
ep_00530: path_length=22.69, steps=200
ep_00531: path_length=20.75, steps=200
ep_00532: path_length=22.68, steps=200
ep_00533: path_length=21.53, steps=200
ep_00534: path_length=22.24, steps=200
ep_00535: path_length=20.77, steps=200
ep_00536: path_length=21.74, steps=200
ep_00537: path_length=21.98, steps=200
ep_00538: path_length=20.09, steps=200
ep_00539: path_length=21.68, steps=200
ep_00540: path_length=19.62, steps=200
ep_00541: path_length=21.34, steps=200
ep_00542: path_length=21.26, steps=200
ep_00543: path_length=22.17, steps=200
ep_00544: path_length=22.04, steps=200
ep_00545: path_length=21.16, steps=200
ep_00546: path_length=21.29, steps=200
ep_00547: path_length=22.52, steps=200
ep_00548: path_length=21.76, steps=200
ep_00549: path_length=22.67, steps=200
ep_00550: path_length=22.64, steps=200
ep_00551: path_length=21.03, steps=200
ep_00552: path_length=20.82, steps=200
ep_00553: path_length=22.61, steps=200
ep_00554: path_length=20.28, steps=200
ep_00555: path_length=20.21, steps=200
ep_00556: path_length=22.75, steps=200
ep_00557: path_length=22.08, steps=200
ep_00558: path_length=21.03, steps=200
ep_00559: path_length=21.39, steps=200
ep_00560: path_length=23.00, steps=200
ep_00561: path_length=19.57, steps=200
ep_00562: path_length=21.37, steps=200
ep_00563: path_length=22.60, steps=200
ep_00564: path_length=22.96, steps=200
ep_00565: path_length=20.78, steps=200
ep_00566: path_length=22.42, steps=200
ep_00567: path_length=20.13, steps=200
ep_00568: path_length=23.51, steps=200
ep_00569: path_length=21.77, steps=200
ep_00570: path_length=23.71, steps=200
ep_00571: path_length=21.21, steps=200
ep_00572: path_length=23.83, steps=200
ep_00573: path_length=22.54, steps=200
ep_00574: path_length=21.44, steps=200
ep_00575: path_length=22.64, steps=200
ep_00576: path_length=20.14, steps=200
ep_00577: path_length=22.92, steps=200
ep_00578: path_length=22.72, steps=200
ep_00579: path_length=22.19, steps=200
ep_00580: path_length=23.47, steps=200
ep_00581: path_length=20.87, steps=200
ep_00582: path_length=22.46, steps=200
ep_00583: path_length=22.34, steps=200
ep_00584: path_length=20.19, steps=200
ep_00585: path_length=21.46, steps=200
ep_00586: path_length=22.97, steps=200
ep_00587: path_length=22.47, steps=200
ep_00588: path_length=21.33, steps=200
ep_00589: path_length=21.97, steps=200
ep_00590: path_length=21.20, steps=200
ep_00591: path_length=22.86, steps=200
ep_00592: path_length=22.11, steps=200
ep_00593: path_length=20.59, steps=200
ep_00594: path_length=21.27, steps=200
ep_00595: path_length=20.30, steps=200
ep_00596: path_length=21.79, steps=200
ep_00597: path_length=21.35, steps=200
ep_00598: path_length=20.12, steps=200
ep_00599: path_length=22.03, steps=200
ep_00600: path_length=20.90, steps=200
ep_00601: path_length=22.94, steps=200
ep_00602: path_length=22.10, steps=200
ep_00603: path_length=22.36, steps=200
ep_00604: path_length=21.77, steps=200
ep_00605: path_length=22.01, steps=200
ep_00606: path_length=20.37, steps=200
ep_00607: path_length=27.90, steps=200
ep_00608: path_length=0.00, steps=200
ep_00609: path_length=0.00, steps=200
ep_00610: path_length=22.74, steps=200
ep_00611: path_length=21.22, steps=200
ep_00612: path_length=21.67, steps=200
ep_00613: path_length=18.73, steps=200
ep_00614: path_length=23.47, steps=200
ep_00615: path_length=21.27, steps=200
ep_00616: path_length=22.32, steps=200
ep_00617: path_length=23.77, steps=200
ep_00618: path_length=21.56, steps=200
ep_00619: path_length=22.05, steps=200
ep_00620: path_length=21.68, steps=200
ep_00621: path_length=22.85, steps=200
ep_00622: path_length=21.70, steps=200
ep_00623: path_length=21.75, steps=200
ep_00624: path_length=23.52, steps=200
ep_00625: path_length=23.11, steps=200
ep_00626: path_length=23.18, steps=200
ep_00627: path_length=22.11, steps=200
ep_00628: path_length=22.44, steps=200
ep_00629: path_length=22.11, steps=200
ep_00630: path_length=22.04, steps=200
ep_00631: path_length=21.77, steps=200
ep_00632: path_length=22.34, steps=200
